Latitude,Longitude
51.21853,4.42076
49.68556,5.81244
50.63686,5.57825
50.7461817,3.5997497
50.46622,4.86969
51.313199,3.123911
51.056359,3.717172
50.87634,4.699796
50.938477,4.03544
50.59368,5.85761
